"","genes","A","phase","offset","peak","R2","pvalue","qvalue"
"1","ENSG00000000003",0.23646880214287,11.3167842509566,3.4330109458142,-5.31678425095662,0.0933672504061108,0.222032505092142,0.629527916089181
"2","ENSG00000000419",0.0854861195016824,10.5566377912016,4.5777679673065,-4.55663779120158,0.0492583455920241,0.454590785187155,0.728216570991568
"3","ENSG00000000457",0.0330466882593791,11.3548422985131,4.12173001931434,-5.35484229851312,0.0337790850877915,0.581903403424579,0.782294940831526
"4","ENSG00000000460",0.0302702802378768,0.723432611797881,3.33439396020319,5.27656738820212,0.00886015232261894,0.865135296855262,0.928520003113325
"5","ENSG00000000938",0.0610069616187859,12.644360360408,1.23419409605719,17.355639639592,0.00556864063700813,0.912593456672973,0.953863209960771
"6","ENSG00000000971",0.0136659630013495,16.3773756129347,4.71751045324213,13.6226243870653,0.000352517493830584,0.994085862279466,0.997359373768365
"7","ENSG00000001036",0.0401338496968319,13.2565269994819,3.94060516094833,16.7434730005181,0.00874923727504784,0.866652362330841,0.929633303510068
"8","ENSG00000001084",0.00561363330495058,12.9740229383806,6.7076450863835,17.0259770616194,0.000700457861635306,0.988186834772833,0.994268391318361
"9","ENSG00000001167",0.0449199281073061,2.04259033461175,5.5095493888901,3.95740966538825,0.0444687174961712,0.491048709285529,0.74299820958784
"10","ENSG00000001460",0.17296136090552,13.9593327677592,3.81504000310658,16.0406672322408,0.182701845080779,0.0403835576696424,0.565688103154651
"11","ENSG00000001461",0.0490871361317975,16.2452001343806,7.56630887171256,13.7547998656194,0.0475681076598731,0.467120174553191,0.73320591136743
"12","ENSG00000001497",0.179495413022256,21.8887705621601,4.87238846375581,8.11122943783989,0.235563795988705,0.0117225039437658,0.468881118881121
"13","ENSG00000001561",0.111242876774052,11.0668911679569,6.89785305546901,-5.06689116795688,0.10049248214099,0.196345141461823,0.621403080390684
"14","ENSG00000001617",0.0339217302366195,1.6233447004951,2.19680886428788,4.3766552995049,0.00430968813714039,0.93168672295725,0.964519237387295
"15","ENSG00000001626",0.106412585191218,17.4584716420772,4.05510207318572,12.5415283579228,0.0964038169534037,0.210899299490484,0.625421207341554
"16","ENSG00000001629",0.0254188903921969,23.3334330914422,7.78738252571041,6.66656690855783,0.0379058733803849,0.54498008473808,0.766684796926921
